individuals_income_below_185_percent_poverty_level,total_population_white,total_population_black_or_african_american,total_population_american_indian_and_alaska_native,total_population_asian,total_population_native_hawaiian_and_other_pacific_islander,total_population_hispanic_or_latino_origin,total_population_non_hispanic_or_latino_origin,total_lep_households_spanish,total_lep_households_other_indo_european_languages,total_lep_households_asian_and_pacific_island_languages,total_lep_households_other_languages,region
262,1934,28,0,94,0,252,1912,0,0,0,0,Northeast
182,1824,27,0,41,0,177,1823,0,0,0,0,Northeast
218,986,67,0,96,0,171,1121,7,4,7,0,Northeast
701,2607,79,29,652,0,294,3198,0,46,10,0,Northeast
800,3966,134,24,473,0,163,4596,19,171,38,11,Northeast
379,2607,117,0,145,0,132,2895,0,0,27,0,Northeast
772,3198,180,0,237,0,205,3507,40,12,28,0,Northeast
414,2829,33,0,74,0,416,2572,0,0,0,0,Northeast
128,1330,34,0,119,0,56,1539,0,0,0,0,Northeast
199,1377,75,0,43,0,81,1490,7,0,0,0,Northeast
245,1362,49,0,145,0,187,1369,7,0,0,0,Northeast
71,2037,45,0,245,8,271,2171,21,0,0,0,Northeast
260,2779,7,18,40,0,252,2723,0,7,0,0,Northeast
314,2990,77,17,301,0,208,3243,14,0,0,0,Northeast
521,3200,276,0,218,0,201,3617,7,0,0,0,Northeast
400,2649,172,0,353,41,229,3227,9,9,0,0,Northeast
268,1921,24,0,150,0,128,2110,0,0,0,0,Northeast
1054,5972,164,0,346,0,438,6196,30,0,31,0,Northeast
571,2245,164,0,123,0,209,2526,14,122,26,0,Northeast
359,3408,120,0,370,0,306,3661,0,46,15,8,Northeast
153,1079,0,0,158,0,22,1221,6,0,0,0,Northeast
208,2127,65,0,177,0,178,2265,0,0,0,0,Northeast
760,3202,91,15,210,0,344,3541,0,18,14,36,Northeast
360,2439,143,0,118,16,285,2542,0,17,0,0,Northeast
231,1328,64,0,173,0,150,1486,0,8,0,0,Northeast
509,3553,107,0,186,0,333,3681,0,0,0,0,Northeast
379,3254,31,0,174,0,184,3450,0,0,10,0,Northeast
683,2590,177,0,254,0,93,3058,47,31,29,0,Northeast
291,2800,126,0,189,0,91,3114,10,0,0,0,Northeast
258,2994,11,0,215,0,153,3143,9,0,0,0,Northeast
841,3009,673,7,352,0,420,3771,10,7,11,0,Northeast
281,2243,101,0,69,0,1,2439,0,0,0,0,Northeast
350,2386,17,0,322,0,257,2656,0,4,0,0,Northeast
309,1541,162,0,160,0,167,1789,41,0,10,0,Northeast
547,3445,44,0,597,0,193,4114,0,0,13,0,Northeast
851,4234,282,0,274,0,326,4770,18,13,22,17,Northeast
388,5376,131,0,475,0,245,5942,0,0,0,0,Northeast
273,1469,217,0,171,0,71,1843,10,4,0,0,Northeast
44,1264,149,0,160,0,71,1599,0,0,7,0,Northeast
190,1941,312,0,305,0,157,2448,29,0,0,0,Northeast
651,5585,197,47,484,0,150,6591,0,0,0,0,Northeast
135,2611,185,0,280,0,141,3019,0,0,0,0,Northeast
433,3025,111,0,147,0,276,3040,10,29,0,0,Northeast
337,4161,174,0,475,0,311,4600,18,13,13,0,Northeast
2204,1451,2517,3,107,0,193,4138,0,0,0,0,Northeast
1976,4391,1060,0,1126,0,553,6210,0,128,148,0,Northeast
853,3244,399,0,336,0,400,3800,18,0,43,0,Northeast
433,3636,94,0,544,0,198,4111,35,35,50,0,Northeast
262,2520,72,0,210,0,61,2867,0,22,0,0,Northeast
985,4292,168,0,754,0,155,5238,0,35,36,17,Northeast
409,1835,32,0,174,0,82,2110,0,0,38,0,Northeast
823,3826,237,0,1442,0,273,5378,51,68,93,0,Northeast
1319,5990,239,0,1906,0,412,8038,0,31,76,0,Northeast
547,3152,91,0,1103,0,363,4130,0,0,76,0,Northeast
408,2973,201,0,700,0,165,3875,0,21,27,0,Northeast
475,3074,153,0,732,0,243,3875,0,20,126,0,Northeast
525,8216,250,0,1340,0,551,9747,0,0,27,0,Northeast
338,597,379,0,39,0,22,1004,0,0,0,0,Northeast
361,2961,26,0,188,0,400,3109,0,64,0,0,Northeast
418,6109,16,0,176,0,686,5730,0,36,0,0,Northeast
